,id,song name,artist name,artist popularity,artist genres,album genres,release_date,song duration,song popularity
0,4CGBTtlrjZj7ydpV52cgB4,Maula Mere Maula,Roop Kumar Rathod,63,"['classic bollywood', 'desi pop', 'filmi', 'modern bollywood', 'sufi']",[],2007-01-12,364329,64
1,5FXMRdJjKq1BIX4e8Eg9mK,Ajab Si,KK,72,"['desi pop', 'filmi', 'modern bollywood']",[],2007-09-18,241668,68
2,38WTxU8ZWOM7FXf7E07qcG,Main Jahaan Rahoon,Rahat Fateh Ali Khan,70,"['classic pakistani pop', 'filmi', 'modern bollywood', 'qawwali', 'sufi']",[],2007-02-23,382493,58
3,0zQa7QXLpUZfrrsWbgDZll,Beete Lamhein,KK,72,"['desi pop', 'filmi', 'modern bollywood']",[],2007-04-18,298271,62
4,1O5mTSQa0sCce9ghhDqIZl,Jashn-E-Bahaaraa,A.R. Rahman,79,"['desi pop', 'filmi', 'modern bollywood']",[],2007-12-31,315173,69
5,5WncH5iZ5GFlnXm7jKEXVP,Labon Ko,Pritam,84,"['filmi', 'indian instrumental', 'modern bollywood']",[],2007-09-05,341027,62
6,7eQl3Yqv35ioqUfveKHitE,Tum Se Hi,Pritam,84,"['filmi', 'indian instrumental', 'modern bollywood']",[],2007-09-21,321225,74
7,0ZNg3I2kga2XnqKp1Y9PeZ,Wo Ajnabee,Mithoon,69,"['desi pop', 'filmi', 'modern bollywood', 'sufi']",[],2007-04-18,302710,56
8,3fWMFwaJil8fD14JCgwbcL,Aaoge Jab Tum,Rashid Khan,48,"['ghazal', 'hindustani classical', 'hindustani vocal', 'indian classical', 'khayal']",[],2007-09-21,355065,64
9,0iXLwnLmLwn9y54JtBTNxY,Main Agar Kahoon,Sonu Nigam,72,"['desi pop', 'filmi', 'modern bollywood']",[],2007-09-18,308158,65
10,7cWnks0lsRtpAi87COOiXK,O Re Piya,Salim–Sulaiman,61,"['desi pop', 'filmi', 'indian folk', 'modern bollywood']",[],2007-10-18,379768,71
11,6YycppSAeGtSvwmu8qCcr2,In Dino,Pritam,84,"['filmi', 'indian instrumental', 'modern bollywood']",[],2007-03-17,397026,56
12,6ocOeSjnWPcSTaSsi0zIdY,Aao Milo Chalo,Pritam,84,"['filmi', 'indian instrumental', 'modern bollywood']",[],2007-09-21,325933,62
13,6UEhNvccAc4OyEDJYB5brb,Ek Din Teri Raahon,Javed Ali,67,"['desi pop', 'filmi', 'modern bollywood', 'sufi']",[],2007-07-13,292000,58
14,5DyYcwMw0f6z3FefXNLOHv,Ishq Hua,Salim–Sulaiman,61,"['desi pop', 'filmi', 'indian folk', 'modern bollywood']",[],2007-10-18,263026,56
15,2sVzO3L0fdOMVe8wVlM0IE,Jag Soona Soona Lage,Rahat Fateh Ali Khan,70,"['classic pakistani pop', 'filmi', 'modern bollywood', 'qawwali', 'sufi']",[],2007-09-18,329429,56
16,648GXyKI62FhbeBq0levWr,Dil Kya Kare,Adnan Sami,57,"['classic bollywood', 'classic pakistani pop', 'desi pop', 'filmi', 'modern bollywood']",[],2007-07-12,327880,59
